Sample ID	iCluster
TCGA-OR-A5J1	5
TCGA-OR-A5J2	5
TCGA-OR-A5J3	9
TCGA-OR-A5J5	9
TCGA-OR-A5J6	9
TCGA-OR-A5J7	9
TCGA-OR-A5J8	3
TCGA-OR-A5J9	9
TCGA-OR-A5JA	9
TCGA-OR-A5JB	27
TCGA-OR-A5JC	9
TCGA-OR-A5JD	9
TCGA-OR-A5JE	9
TCGA-OR-A5JF	9
TCGA-OR-A5JG	9
TCGA-OR-A5JI	9
TCGA-OR-A5JJ	9
TCGA-OR-A5JK	9
TCGA-OR-A5JL	9
TCGA-OR-A5JM	9
TCGA-OR-A5JO	3
TCGA-OR-A5JP	9
TCGA-OR-A5JQ	9
TCGA-OR-A5JR	9
TCGA-OR-A5JS	9
TCGA-OR-A5JT	9
TCGA-OR-A5JV	9
TCGA-OR-A5JW	9
TCGA-OR-A5JX	9
TCGA-OR-A5JY	9
TCGA-OR-A5JZ	9
TCGA-OR-A5K0	1
TCGA-OR-A5K1	9
TCGA-OR-A5K2	9
TCGA-OR-A5K3	9
TCGA-OR-A5K4	9
TCGA-OR-A5K5	9
TCGA-OR-A5K6	5
TCGA-OR-A5K8	9
TCGA-OR-A5K9	9
TCGA-OR-A5KO	5
TCGA-OR-A5KT	9
TCGA-OR-A5KU	9
TCGA-OR-A5KV	5
TCGA-OR-A5KW	9
TCGA-OR-A5KX	9
TCGA-OR-A5KY	9
TCGA-OR-A5KZ	9
TCGA-OR-A5L3	5
TCGA-OR-A5L4	9
TCGA-OR-A5L5	9
TCGA-OR-A5L6	9
TCGA-OR-A5L8	9
TCGA-OR-A5L9	9
TCGA-OR-A5LA	9
TCGA-OR-A5LB	9
TCGA-OR-A5LC	9
TCGA-OR-A5LD	9
TCGA-OR-A5LE	9
TCGA-OR-A5LG	9
TCGA-OR-A5LH	9
TCGA-OR-A5LJ	9
TCGA-OR-A5LK	9
TCGA-OR-A5LL	5
TCGA-OR-A5LM	9
TCGA-OR-A5LN	9
TCGA-OR-A5LO	9
TCGA-OR-A5LP	9
TCGA-OR-A5LR	9
TCGA-OR-A5LS	9
TCGA-OR-A5LT	9
TCGA-OU-A5PI	9
TCGA-PA-A5YG	9
TCGA-PK-A5H9	5
TCGA-PK-A5HA	9
TCGA-PK-A5HB	9
TCGA-2F-A9KO	10
TCGA-2F-A9KP	10
TCGA-2F-A9KQ	7
TCGA-2F-A9KR	7
TCGA-2F-A9KT	10
TCGA-2F-A9KW	10
TCGA-4Z-AA7M	10
TCGA-4Z-AA7N	20
TCGA-4Z-AA7O	7
TCGA-4Z-AA7Q	27
TCGA-4Z-AA7R	17
TCGA-4Z-AA7S	25
TCGA-4Z-AA7W	27
TCGA-4Z-AA7Y	7
TCGA-4Z-AA80	10
TCGA-4Z-AA81	27
TCGA-4Z-AA82	10
TCGA-4Z-AA83	27
TCGA-4Z-AA84	27
TCGA-4Z-AA86	27
TCGA-4Z-AA87	13
TCGA-4Z-AA89	7
TCGA-5N-A9KI	20
TCGA-5N-A9KM	7
TCGA-BL-A13I	3
TCGA-BL-A3JM	22
TCGA-BT-A0S7	10
TCGA-BT-A0YX	10
TCGA-BT-A20J	10
TCGA-BT-A20N	10
TCGA-BT-A20O	3
TCGA-BT-A20P	7
TCGA-BT-A20Q	10
TCGA-BT-A20R	20
TCGA-BT-A20T	10
TCGA-BT-A20U	27
TCGA-BT-A20V	27
TCGA-BT-A20W	10
TCGA-BT-A20X	27
TCGA-BT-A2LA	5
TCGA-BT-A2LB	10
TCGA-BT-A2LD	10
TCGA-BT-A3PH	25
TCGA-BT-A3PJ	27
TCGA-BT-A3PK	10
TCGA-BT-A42C	10
TCGA-BT-A42E	10
TCGA-BT-A42F	27
TCGA-C4-A0EZ	13
TCGA-C4-A0F0	27
TCGA-C4-A0F6	7
TCGA-CF-A1HR	10
TCGA-CF-A1HS	27
TCGA-CF-A27C	7
TCGA-CF-A3MF	27
TCGA-CF-A3MG	7
TCGA-CF-A3MH	10
TCGA-CF-A3MI	27
TCGA-CF-A47S	27
TCGA-CF-A47T	7
TCGA-CF-A47V	25
TCGA-CF-A47W	8
TCGA-CF-A47X	27
TCGA-CF-A47Y	12
TCGA-CF-A5U8	10
TCGA-CF-A5UA	7
TCGA-CF-A7I0	20
TCGA-CF-A8HX	7
TCGA-CF-A8HY	7
TCGA-CF-A9FF	10
TCGA-CF-A9FH	7
TCGA-CF-A9FL	7
TCGA-CF-A9FM	27
